Apr  2 20:42:51.049 2021@LM_INFO@  active LogDBCenterTask[1] succ!
Apr  2 20:42:51.350 2021@LM_INFO@get_table_no, cur_time:1617410571, table_no:20210402
Apr  2 20:42:59.388 2021@LM_ERROR@DB Error:[1064]:You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'INT DEFAULT 0,role_level         INT DEFAULT 0,role_vip_level     INT DEFAULT 0,' at line 1.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411810, set_id=11, svr_type=9, svr_id=1001101, cache_type=16, cache_capa=53657, cache_size=0; 
Apr  2 21:03:31.066 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411811, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=1; 
Apr  2 21:03:31.070 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411811, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 21:03:31.092 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411811, set_id=1, svr_type=11, svr_id=1001101, cache_type=501, cache_capa=10139, cache_size=2; 
Apr  2 21:03:31.102 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411811, set_id=11, svr_type=9, svr_id=1001101, cache_type=18, cache_capa=769, cache_size=0; 
Apr  2 21:03:31.289 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411811, set_id=1, svr_type=12, svr_id=1000001, cache_type=701, cache_capa=1019, cache_size=0; 
Apr  2 21:03:31.770 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411811, set_id=1, svr_type=15, svr_id=1000001, cache_type=201, cache_capa=53, cache_size=15; 
Apr  2 21:03:32.104 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411812, set_id=11, svr_type=9, svr_id=1001101, cache_type=20, cache_capa=2027, cache_size=0; 
Apr  2 21:03:32.375 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411812, set_id=1, svr_type=6, svr_id=1000001, cache_type=802, cache_capa=101051, cache_size=1; 
Apr  2 21:03:33.109 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411813, set_id=11, svr_type=9, svr_id=1001101, cache_type=19, cache_capa=1019, cache_size=0; 
Apr  2 21:03:33.119 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411813, set_id=1, svr_type=11, svr_id=1001101, cache_type=512, cache_capa=4019, cache_size=2; 
Apr  2 21:03:33.800 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411813, set_id=1, svr_type=5, svr_id=1000001, cache_type=401, cache_capa=3079, cache_size=0; 
Apr  2 21:03:34.095 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411814, set_id=1, svr_type=11, svr_id=1001101, cache_type=513, cache_capa=1543, cache_size=0; 
Apr  2 21:03:34.113 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411814, set_id=1, svr_type=11, svr_id=1001101, cache_type=514, cache_capa=1543, cache_size=0; 
Apr  2 21:03:35.120 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411815, set_id=1, svr_type=11, svr_id=1001101, cache_type=515, cache_capa=4019, cache_size=0; 
Apr  2 21:03:36.047 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411816, set_id=1, svr_type=20, svr_id=1000001, cache_type=601, cache_capa=10139, cache_size=0; 
Apr  2 21:03:36.083 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411816, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=1; 
Apr  2 21:03:36.093 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411816, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 21:03:36.109 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411816, set_id=11, svr_type=9, svr_id=1001101, cache_type=21, cache_capa=2027, cache_size=0; 
Apr  2 21:03:36.120 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411816, set_id=11, svr_type=11, svr_id=1001101, cache_type=516, cache_capa=389, cache_size=0; 
Apr  2 21:03:37.102 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411817, set_id=11, svr_type=9, svr_id=1001101, cache_type=5, cache_capa=769, cache_size=0; 
Apr  2 21:03:37.109 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411817, set_id=11, svr_type=9, svr_id=1001101, cache_type=6, cache_capa=6291469, cache_size=0; 
Apr  2 21:03:37.127 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411817, set_id=11, svr_type=9, svr_id=1001101, cache_type=7, cache_capa=4076, cache_size=0; 
Apr  2 21:03:37.137 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411817, set_id=11, svr_type=9, svr_id=1001101, cache_type=8, cache_capa=5021, cache_size=0; 
Apr  2 21:03:37.153 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411817, set_id=11, svr_type=9, svr_id=1001101, cache_type=9, cache_capa=21101, cache_size=0; 
Apr  2 21:03:37.163 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411817, set_id=11, svr_type=9, svr_id=1001101, cache_type=10, cache_capa=389, cache_size=0; 
Apr  2 21:03:37.373 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411817, set_id=1, svr_type=6, svr_id=1000001, cache_type=801, cache_capa=256, cache_size=1; 
Apr  2 21:03:38.102 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411818, set_id=1, svr_type=11, svr_id=1001101, cache_type=517, cache_capa=389, cache_size=0; 
Apr  2 21:03:38.110 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411818, set_id=11, svr_type=9, svr_id=1001101, cache_type=11, cache_capa=21101, cache_size=0; 
Apr  2 21:03:39.116 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411819, set_id=11, svr_type=9, svr_id=1001101, cache_type=4, cache_capa=1019, cache_size=0; 
Apr  2 21:03:39.129 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411819, set_id=1, svr_type=11, svr_id=1001101, cache_type=518, cache_capa=1019, cache_size=0; 
Apr  2 21:03:39.355 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411819, set_id=1, svr_type=17, svr_id=1000001, cache_type=101, cache_capa=769, cache_size=0; 
Apr  2 21:03:40.103 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411820, set_id=11, svr_type=9, svr_id=1001101, cache_type=17, cache_capa=389, cache_size=0; 
Apr  2 21:03:41.069 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411821, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=1; 
Apr  2 21:03:41.077 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411821, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 21:03:41.102 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411821, set_id=11, svr_type=9, svr_id=1001101, cache_type=12, cache_capa=5021, cache_size=0; 
Apr  2 21:03:41.111 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411821, set_id=11, svr_type=9, svr_id=1001101, cache_type=13, cache_capa=2027, cache_size=0; 
Apr  2 21:03:41.121 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411821, set_id=11, svr_type=9, svr_id=1001101, cache_type=14, cache_capa=1019, cache_size=0; 
Apr  2 21:03:41.332 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411821, set_id=1, svr_type=12, svr_id=1000001, cache_type=701, cache_capa=1019, cache_size=0; 
Apr  2 21:03:41.770 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411821, set_id=1, svr_type=15, svr_id=1000001, cache_type=201, cache_capa=53, cache_size=15; 
Apr  2 21:03:42.116 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411822, set_id=11, svr_type=9, svr_id=1001101, cache_type=1, cache_capa=21101, cache_size=0; 
Apr  2 21:03:42.120 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411822, set_id=11, svr_type=9, svr_id=1001101, cache_type=2, cache_capa=12289, cache_size=0; 
Apr  2 21:03:42.130 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411822, set_id=11, svr_type=9, svr_id=1001101, cache_type=3, cache_capa=389, cache_size=0; 
Apr  2 21:03:42.377 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411822, set_id=1, svr_type=6, svr_id=1000001, cache_type=802, cache_capa=101051, cache_size=1; 
Apr  2 21:03:43.103 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411823, set_id=1, svr_type=11, svr_id=1001101, cache_type=508, cache_capa=2027, cache_size=0; 
Apr  2 21:03:43.110 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411823, set_id=11, svr_type=9, svr_id=1001101, cache_type=15, cache_capa=5021, cache_size=0; 
Apr  2 21:03:43.120 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411823, set_id=11, svr_type=9, svr_id=1001101, cache_type=16, cache_capa=53657, cache_size=0; 
Apr  2 21:03:43.801 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411823, set_id=1, svr_type=5, svr_id=1000001, cache_type=401, cache_capa=3079, cache_size=0; 
Apr  2 21:03:44.089 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411824, set_id=1, svr_type=11, svr_id=1001101, cache_type=503, cache_capa=3079, cache_size=0; 
Apr  2 21:03:44.095 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411824, set_id=1, svr_type=11, svr_id=1001101, cache_type=504, cache_capa=53, cache_size=0; 
Apr  2 21:03:44.109 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411824, set_id=1, svr_type=11, svr_id=1001101, cache_type=505, cache_capa=10139, cache_size=0; 
Apr  2 21:03:44.122 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411824, set_id=11, svr_type=9, svr_id=1001101, cache_type=18, cache_capa=769, cache_size=0; 
Apr  2 21:03:45.088 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411825, set_id=1, svr_type=11, svr_id=1001101, cache_type=502, cache_capa=389, cache_size=0; 
Apr  2 21:03:45.103 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411825, set_id=11, svr_type=9, svr_id=1001101, cache_type=20, cache_capa=2027, cache_size=0; 
Apr  2 21:03:46.047 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411826, set_id=1, svr_type=20, svr_id=1000001, cache_type=601, cache_capa=10139, cache_size=0; 
Apr  2 21:03:46.070 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411826, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=1; 
Apr  2 21:03:46.087 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411826, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 21:03:46.103 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411826, set_id=11, svr_type=9, svr_id=1001101, cache_type=19, cache_capa=1019, cache_size=0; 
Apr  2 21:03:46.120 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411826, set_id=1, svr_type=11, svr_id=1001101, cache_type=506, cache_capa=10139, cache_size=0; 
Apr  2 21:03:46.134 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411826, set_id=1, svr_type=11, svr_id=1001101, cache_type=507, cache_capa=10139, cache_size=0; 
Apr  2 21:03:47.373 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411827, set_id=1, svr_type=6, svr_id=1000001, cache_type=801, cache_capa=256, cache_size=1; 
Apr  2 21:03:48.101 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411828, set_id=1, svr_type=11, svr_id=1001101, cache_type=510, cache_capa=1019, cache_size=1; 
Apr  2 21:03:49.097 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411829, set_id=1, svr_type=11, svr_id=1001101, cache_type=501, cache_capa=10139, cache_size=2; 
